ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
169994307,Fri Jul 23 17:51:06 +0000 2010,108934,996,56,14482,False,1514,15,False,False,997,1524,525,1233,920,171,981,229,305,3234
528210074,Sun Mar 18 06:14:02 +0000 2012,8425,124,2,269,False,209,49,True,True,561,599,1645,1928,116,56,687,8,29,3168
254939433,Sun Feb 20 09:43:59 +0000 2011,118715,95,22,30598,False,1872,160,True,True,45,49,173,144,493,175,3012,0,27,3202
932687941,Wed Nov 07 18:41:12 +0000 2012,93449,462,20,2323,False,596,123,False,True,23,35,96,2315,21,5,769,50,109,3115
613200939,Wed Jun 20 04:11:06 +0000 2012,10968,910,2,6607,False,1140,24,False,False,0,0,0,3120,0,0,0,0,0,3120
451071590,Sat Dec 31 00:48:56 +0000 2011,6521,376,2,47,False,469,14,False,True,1042,1925,244,706,117,358,1053,84,178,3215
247754156,Sat Feb 05 14:01:59 +0000 2011,112636,505,5,4584,False,792,26,False,False,183,222,68,2698,14,31,325,10,23,3209
4340586677,Tue Dec 01 14:24:28 +0000 2015,3471,247,0,465,False,190,23,False,False,105,124,48,2744,61,24,373,59,70,3235
2357907336,Sun Feb 23 12:10:13 +0000 2014,29760,4987,153,686,False,1214,144,False,False,940,2441,833,1428,424,3486,77,0,861,3207
636664667,Mon Jul 16 03:29:12 +0000 2012,34617,17427,58,5583,False,17496,91,True,False,19,3105,1504,1338,1121,705,44,0,109,2006
936572040,Fri Nov 09 10:26:20 +0000 2012,5512,392,2,1462,False,412,13,False,False,2227,2110,197,114,1236,3,934,0,10,3102
701167019744489472,Sat Feb 20 22:10:19 +0000 2016,409,121,3,410,False,64,59,True,True,130,283,72,102,491,2,119,0,2,409
439034546,Sat Dec 17 08:53:10 +0000 2011,30115,24,1,0,False,16,73,False,True,0,0,1,0,2,0,3222,0,0,3222
329506793,Tue Jul 05 05:51:29 +0000 2011,18917,583,1,4434,False,663,47,False,True,124,159,304,2459,395,9,574,500,526,3185
471293046,Sun Jan 22 18:14:27 +0000 2012,86514,194,30,1749,False,380,52,False,True,222,117,165,2151,46,51,894,219,243,3146
324662308,Mon Jun 27 00:57:54 +0000 2011,58912,884,7,5685,False,1146,71,False,True,488,464,816,1460,649,68,1323,689,748,3233
15826619,Tue Aug 12 19:18:15 +0000 2008,55880,973,197,15,False,8653,116,True,True,894,3065,520,1019,321,885,570,26,1930,3225
2455190618,Sun Apr 20 15:25:22 +0000 2014,1102,519,1,321,False,234,4,False,False,498,628,84,488,109,19,124,2,25,1098
3187835222,Thu May 07 14:58:46 +0000 2015,753,0,3,0,False,9,30,False,False,0,0,9,0,2,2254,753,0,0,753
99251007,Fri Dec 25 09:00:35 +0000 2009,46559,90,3,1378,False,288,78,False,False,228,257,97,2261,33,62,683,3,39,3190
252103947,Mon Feb 14 14:08:48 +0000 2011,49410,897,22,12123,False,1204,159,True,True,459,506,206,1101,942,33,1629,1,66,3197
3345338309,Thu Jun 25 10:49:24 +0000 2015,17770,11585,3,341,False,27945,62,False,True,116,134,3998,2994,1144,23,92,31,33,3202
919996872,Thu Nov 01 23:12:41 +0000 2012,10249,351,13,24100,False,10271,104,True,True,1527,2962,701,176,8272,57,747,97,766,3050
441691205,Tue Dec 20 09:59:26 +0000 2011,1594,529,1,110,False,271,25,False,True,727,829,86,267,102,124,521,2,50,1514
1935033180,Fri Oct 04 18:28:01 +0000 2013,4442,735,1,4075,False,165,84,False,False,999,1374,205,1653,1004,254,546,13,79,3135
2921211701,Sun Dec 14 10:58:26 +0000 2014,3315,293,1,9525,False,68,78,False,False,55,71,3,3043,38,54,66,0,68,3172
22199141,Fri Feb 27 22:21:34 +0000 2009,58950,687,5500,918,True,614732,78,True,False,85,3619,38871,1282,92328,2713,189,42,1377,3231
3502646775,Mon Aug 31 14:40:20 +0000 2015,2659,276,2,2427,False,88,0,False,True,1281,1621,5,1384,151,27,11,1,2,2682
1367654706,Sat Apr 20 18:14:00 +0000 2013,1555,160,2,662,False,140,94,False,False,363,479,399,620,548,90,539,240,258,1542
49940157,Tue Jun 23 10:21:48 +0000 2009,195563,442,5,819,False,565,132,False,True,357,693,384,1461,183,69,1150,861,922,3221
3342856997,Tue Jun 23 16:24:51 +0000 2015,187,97,0,29,False,31,0,False,False,13,24,10,123,31,4,53,2,3,189
166560914,Wed Jul 14 13:22:54 +0000 2010,10147,62,5,1445,False,143,0,False,False,537,816,310,1813,307,69,779,413,618,3182
582021751,Wed May 16 17:34:07 +0000 2012,1264,430,1,304,False,82,3,False,True,383,439,23,436,68,41,390,31,50,1236
730016724888784897,Tue May 10 12:48:45 +0000 2016,218,8,1,81,False,14,0,False,False,0,0,1,186,1,86,30,0,30,216
696490487205724160,Mon Feb 08 00:27:27 +0000 2016,2119,204,0,648,False,229,112,False,False,48,59,262,320,382,19,1739,7,11,2104
939550003,Sat Nov 10 17:34:22 +0000 2012,12473,2303,3,17646,False,1004,133,False,True,21,38,56,2884,48,44,251,12,144,3167
3600537257,Wed Sep 09 17:25:42 +0000 2015,31,154,0,33,False,9,0,False,False,5,11,0,23,3,9,9,2,5,38
2949789222,Mon Dec 29 10:05:05 +0000 2014,225,48,0,64,False,47,59,True,True,62,56,13,95,25,3,45,0,0,196
3396900439,Sun Aug 30 21:46:10 +0000 2015,1178,223,3,129,False,217,139,False,True,114,150,84,133,513,9,914,361,521,1184
3837518715,Thu Oct 01 22:51:55 +0000 2015,23435,65,4,0,False,33,0,False,False,0,0,2,0,4,21951,3245,0,3245,3245
1496603881,Sun Jun 09 20:47:01 +0000 2013,168,22,83,0,False,134644,0,False,False,0,0,243299,13,189982,86,97,0,13,110
713152261250224128,Thu Mar 24 23:55:23 +0000 2016,6,4,0,1,False,8,0,False,True,4,4,0,0,1,1,2,0,1,6
3275018749,Fri Jul 10 23:59:21 +0000 2015,15550,274,5,6209,False,659,98,False,True,51,91,38,2950,108,7,200,4,7,3229
3308792265,Fri Jun 05 01:42:17 +0000 2015,1878,124,0,2022,False,134,18,False,True,225,394,368,517,1130,53,1056,0,11,1883
1109715128,Mon Jan 21 18:18:53 +0000 2013,20725,1443,73,3347,False,1220,91,True,True,750,672,85,357,1109,46,1685,0,145,2690
4126981642,Fri Nov 06 12:57:13 +0000 2015,263,323,0,29,False,316,104,False,False,0,0,0,143,0,0,0,0,0,143
598599048,Sun Jun 03 17:44:49 +0000 2012,57260,1116,13,21509,False,1971,78,True,True,217,233,287,1531,248,5,1450,375,387,3203
25727653,Sat Mar 21 20:57:42 +0000 2009,4589,1938,3,14,False,1036,52,True,True,20,59,41,48,39,102,3119,0,3091,3209
1941443390,Sun Oct 06 16:34:45 +0000 2013,20797,238,1,816,False,638,40,True,True,372,396,685,1697,519,24,1028,22,29,3093
3184677254,Mon May 04 02:05:30 +0000 2015,8776,148,7,1668,False,180,87,False,True,49,32,92,51,570,47,3126,0,8,3209
633954456,Thu Jul 12 16:50:41 +0000 2012,5969,357,0,4474,False,404,114,False,True,446,586,288,2269,881,51,427,220,237,3181
1464352868,Tue May 28 10:33:12 +0000 2013,199675,664,63,25361,False,718,17,True,True,484,614,422,314,1300,161,2388,0,177,3221
250510947,Fri Feb 11 06:59:49 +0000 2011,44810,958,6,1652,False,1308,125,True,True,241,211,280,482,136,43,2549,150,272,3238
886930886,Wed Oct 17 14:27:14 +0000 2012,1404,195,2,1847,False,56,0,False,False,321,467,33,889,52,2,164,128,178,1403
139562495,Mon May 03 01:05:51 +0000 2010,16899,731,10,13807,False,1047,31,False,False,11,23,0,2720,12,0,7,0,0,2738
69302511,Thu Aug 27 14:20:32 +0000 2009,228946,894,144,11136,False,1151,156,True,True,590,609,144,848,1090,125,1767,3,119,3219
2192550960,Wed Nov 13 16:16:01 +0000 2013,1241,200,0,2815,False,286,17,False,False,457,471,19,133,156,9,232,0,12,816
252028989,Mon Feb 14 10:16:55 +0000 2011,1255,577,2,17,False,1569,42,False,True,51,51,34,735,5,1,14,1,2,800
1954481318,Fri Oct 11 15:51:49 +0000 2013,59768,386,9,99,False,323,105,True,True,0,2,40,1,30,44,3241,0,3256,3244
3466015092,Sun Sep 06 03:06:01 +0000 2015,1213,374,0,207,False,101,128,False,True,151,159,489,883,93,142,199,44,89,1233
2920626979,Sat Dec 06 12:34:20 +0000 2014,15148,173,15,2008,False,142,86,True,True,1078,1039,8,36,572,14,2164,2,4,3239
54035000,Sun Jul 05 23:05:19 +0000 2009,5856,539,15,1267,False,1342,86,True,False,357,1184,928,306,2741,735,2191,6,2039,3240
2877293652,Sat Oct 25 21:20:11 +0000 2014,31466,312,56,47323,False,2841,52,True,False,1131,1188,671,1019,3350,74,1144,243,273,3237
731880282081517568,Sun May 15 16:13:51 +0000 2016,36,45,0,50,False,33,56,False,True,5,5,0,7,7,2,26,0,0,38
2723445543,Thu Jul 24 22:23:34 +0000 2014,22838,499,7,3778,False,347,39,True,True,1482,1304,303,869,409,54,1061,141,156,3197
